raw_text,file_id,audio_id,video_id
Григорий Остер воспитание текстом (Kuji Podcast 92),BAADAgADIg4AAlzASUhC4yf_alFYyAI,,5208905945400217122
Григорий Остер воспитание текстом (Kuji Podcast 92),,,
,CQADAgADCg4AAlzAQUhQLiVBbEGKRQI,5206654145586531850,
"Юлия Корес. Как создать себе второй мозг и помнить все Организация заметок в гтд. 
#Александр_Вотяков",BAADAgADCQ4AAlzAQUiE4Y7b126NQgI,,5206654145586531849
Юлия Корес. Как создать себе второй мозг и помнить все Организация заметок в гтд.,,,
,CQADAgADig0AAt9aQEjpyN2NnQ6jSwI,5206261083064503690,
"Про умных детей [Владимир Алипов и Александр Вотяков] 
#Александр_Вотяков",BAADAgADiQ0AAt9aQEh-dsAau4TPigI,,5206261083064503689
Про умных детей [Владимир Алипов и Александр Вотяков],,,
,CQADAgADJQ0AAt9aQEi0-TiFIdvyWAI,5206261083064503589,
"ИИ и будущее [Владимир Алипов и Александр Вотяков] 
#Александр_Вотяков",BAADAgADJA0AAt9aQEjoohy3fjYmTgI,,5206261083064503588
ИИ и будущее [Владимир Алипов и Александр Вотяков],,,
,CQADAgADBw0AAt9aQEhd-zKjtgLajwI,5206261083064503559,
"Биохакинг с Александром Вотяковым и Владимиром Алиповым 
#Александр_Вотяков",BAADAgADBg0AAt9aQEj7P5aU2GljQQI,,5206261083064503558
Биохакинг с Александром Вотяковым и Владимиром Алиповым,,,
,CQADAgAD7gwAAt9aQEj7oO_QUHKvMQI,5206261083064503534,
"Работа в Школково [Владимир Алипов и Александр Вотяков] 
#Александр_Вотяков",BAADAgAD7QwAAt9aQEjAZTLnLBZagAI,,5206261083064503533
Работа в Школково [Владимир Алипов и Александр Вотяков],,,
,CQADAgADswwAAt9aQEjlIj61xfOiyAI,5206261083064503475,
"СВЕТОВ И САВВАТЕЕВ! АПРЕЛЬСКИЙ СТРИМ 
#Алексей_Савватеев
#Михаил_Светов",BAADAgADsgwAAt9aQEj5RhgFoDSkaAI,,5206261083064503474
СВЕТОВ И САВВАТЕЕВ! АПРЕЛЬСКИЙ СТРИМ,,,
,CQADAgADhAwAAmS3KUjOTHcM15tfIAI,5199888884900564100,
"Александр Вотяков саморазвитие в XXI веке 
#Александр_Вотяков",BAADAgADgwwAAmS3KUgd-_9M-0JkaAI,,5199888884900564099
Александр Вотяков саморазвитие в XXI веке,,,
,CQADAgADVAwAAmS3KUhmvYhmFpiULgI,5199888884900564052,
"Финансовая грамотность. Пирамиды. Сетевой маркетинг. Кредиты, вклады и инвестиции. 
#Александр_Вотяков",BAADAgADUwwAAmS3KUifTj7c1Ht4wQI,,5199888884900564051
"Финансовая грамотность. Пирамиды. Сетевой маркетинг. Кредиты, вклады и инвестиции.",,,
,CQADAgADkwsAAvX6IEho6G5L4si88AI,5197429900159486867,
"Новая экономика.Студенты 
#Александр_Вотяков",BAADAgADkgsAAvX6IEhSjegQ-pj5_gI,,5197429900159486866
Новая экономика.Студенты,,,
,CQADAgAD-Q0AAvX6GEiHq6V9z4zxkAI,5195178100345802233,
"Марина Сивкова про социологию, маркетинг
#Артем_Русакович",BAADAgAD-A0AAvX6GEgJpFuUFpPWAQI,,5195178100345802232
"Марина Сивкова про социологию, маркетинг",,,
,CQADAgADmw0AAvX6GEie_ioSYaVVWwI,5195178100345802139,
"Александр Ветушинский про философию, видеоигры и работу со смыслами 
#Артем_Русакович",BAADAgADmg0AAvX6GEiIM9QIqv1z7wI,,5195178100345802138
"Александр Ветушинский про философию, видеоигры и работу со смыслами",,,
,CQADAgADXw0AAvX6GEjPsZdFJo9qMAI,5195178100345802079,
"Кто такой гуманитарий и почему проценты должен понимать каждый Интервью с Алексеем Савватеевым 
#Алексей_Савватеев",BAADAgADXg0AAvX6GEj8Iy3Z7ExjJwI,,5195178100345802078
Кто такой гуманитарий и почему проценты должен понимать каждый Интервью с Алексеем Савватеевым,,,
,CQADAgADJg0AAvX6GEhB5WsroojiPwI,5195178100345802022,
"Арсений Нуриджанов про экономику, бизнес и Сбербанк 
#Артем_Русакович",BAADAgADJQ0AAvX6GEhS_bwSeZG5-AI,,5195178100345802021
"Арсений Нуриджанов про экономику, бизнес и Сбербанк",,,
,CQADAgADIw0AAvX6GEjcLqA47j-sUgI,5195178100345802019,
"Дмитрий Гриц о работе юриста и правовой грамотности 
#Артем_Русакович",BAADAgADIg0AAvX6GEiYspaeVTZM5wI,,5195178100345802018
Дмитрий Гриц о работе юриста и правовой грамотности,,,
,CQADAgADJQsAAi3JCEikZsf0jGZp9AI,5190619765655210789,
